site,name,lon,lat,IGBP,source
DK-Sor,DK-Sor,11.64464,55.48587,DBF,fluxnet2015
GL-ZaF,GL-ZaF,-20.55452,74.48143,WET,fluxnet2015
GL-ZaH,GL-ZaH,-20.5503,74.47328,GRA,fluxnet2015
ES-Amo,ES-Amo,-2.25232,36.83361,OSH,fluxnet2015
ES-ES1,ES-ES1,-0.31881,39.34597,,plumber2
ES-ES2,ES-ES2,-0.31528,39.27556,,plumber2
ES-LJu,ES-LJu,-2.75212,36.92659,OSH,fluxnet2015
ES-LMa,ES-LMa,-5.77336,39.94269,,plumber2
ES-LgS,ES-LgS,-2.96583,37.09794,OSH,fluxnet2015
ES-Ln2,ES-Ln2,-3.47582,36.9695,OSH,fluxnet2015
ES-VDA,ES-VDA,1.4485,42.15218,,plumber2
FI-Hyy,FI-Hyy,24.29477,61.84741,ENF,fluxnet2015
FI-Jok,FI-Jok,23.51345,60.8986,CRO,fluxnet2015
FI-Kaa,FI-Kaa,27.29503,69.14069,,plumber2
FI-Let,FI-Let,23.95952,60.64183,ENF,fluxnet2015
FI-Lom,FI-Lom,24.20918,67.99724,WET,fluxnet2015
FI-Sod,FI-Sod,26.63859,67.36239,ENF,fluxnet2015
FR-Fon,FR-Fon,2.7801,48.47636,DBF,fluxnet2015
FR-Gri,FR-Gri,1.95191,48.84422,CRO,fluxnet2015
FR-Hes,FR-Hes,7.06556,48.67416,,plumber2
FR-LBr,FR-LBr,-0.7693,44.71711,ENF,fluxnet2015
FR-Lq1,FR-Lq1,2.73583,45.64306,,plumber2
FR-Lq2,FR-Lq2,2.73703,45.63919,,plumber2
FR-Pue,FR-Pue,3.5957,43.7413,EBF,fluxnet2015
GF-Guy,GF-Guy,-52.92486,5.27877,EBF,fluxnet2015
GH-Ank,GH-Ank,-2.69421,5.26854,EBF,fluxnet2015
HU-Bug,HU-Bug,19.6013,46.6911,,plumber2
ID-Pag,ID-Pag,113.9,-2.32,,plumber2
IE-Ca1,IE-Ca1,-6.91814,52.85879,,plumber2
IE-Dri,IE-Dri,-8.75181,51.98669,,plumber2
IT-Amp,IT-Amp,13.60516,41.9041,,plumber2
IT-BCi,IT-BCi,14.95744,40.52375,CRO,fluxnet2015
IT-CA1,IT-CA1,12.02656,42.38041,DBF,fluxnet2015
IT-CA2,IT-CA2,12.02604,42.37722,CRO,fluxnet2015
IT-CA3,IT-CA3,12.0222,42.38,DBF,fluxnet2015
IT-Col,IT-Col,13.58814,41.84936,DBF,fluxnet2015
IT-Cp2,IT-Cp2,12.35729,41.70427,EBF,fluxnet2015
IT-Cpz,IT-Cpz,12.37611,41.70525,EBF,fluxnet2015
IT-Isp,IT-Isp,8.63358,45.81264,DBF,fluxnet2015
IT-LMa,IT-LMa,7.58259,45.15258,,plumber2
IT-La2,IT-La2,11.2853,45.9542,ENF,fluxnet2015
IT-Lav,IT-Lav,11.28132,45.9562,ENF,fluxnet2015
IT-MBo,IT-MBo,11.04583,46.01468,GRA,fluxnet2015
IT-Mal,IT-Mal,11.70334,46.11402,,plumber2
IT-Noe,IT-Noe,8.15117,40.60618,CSH,fluxnet2015
IT-Non,IT-Non,11.09109,44.69019,,plumber2
IT-PT1,IT-PT1,9.06104,45.20087,DBF,fluxnet2015
IT-Ren,IT-Ren,11.43369,46.58686,ENF,fluxnet2015
IT-Ro1,IT-Ro1,11.9328813702688,42.4094981524778,DBF,fluxnet2015
IT-Ro2,IT-Ro2,11.92093,42.39026,DBF,fluxnet2015
IT-SR2,IT-SR2,10.29095,43.73203,ENF,fluxnet2015
IT-SRo,IT-SRo,10.28444,43.72786,ENF,fluxnet2015
IT-Tor,IT-Tor,7.57806,45.84444,GRA,fluxnet2015
JP-MBF,JP-MBF,142.3186,44.3869,DBF,fluxnet2015
JP-SMF,JP-SMF,137.0788,35.2617,MF,fluxnet2015
MY-PSO,MY-PSO,102.3062,2.973,EBF,fluxnet2015
NL-Ca1,NL-Ca1,4.927,51.971,,plumber2
NL-Hor,NL-Hor,5.0713,52.24035,GRA,fluxnet2015
NL-Loo,NL-Loo,5.74356,52.16658,ENF,fluxnet2015
SJ-Adv,SJ-Adv,15.923,78.186,WET,fluxnet2015
SJ-Blv,SJ-Blv,11.83109,78.92163,SNO,fluxnet2015
PA-SPn,PA-SPn,-79.6346,9.31814,DBF,fluxnet2015
PA-SPs,PA-SPs,-79.63143,9.31378,GRA,fluxnet2015
PL-wet,PL-wet,16.3094,52.7622,,plumber2
PT-Esp,PT-Esp,-8.6018,38.6394,,plumber2
PT-Mi1,PT-Mi1,-8.00006,38.54064,,plumber2
PT-Mi2,PT-Mi2,-8.02455,38.4765,,plumber2
RU-Che,RU-Che,161.34143,68.61304,WET,fluxnet2015
RU-Cok,RU-Cok,147.49428,70.82914,OSH,fluxnet2015
RU-Fyo,RU-Fyo,32.92208,56.46153,ENF,fluxnet2015
RU-Ha1,RU-Ha1,90.00215,54.72517,GRA,fluxnet2015
RU-Sam,RU-Sam,126.4958,72.3738,GRA,fluxnet2015
RU-SkP,RU-SkP,129.168,62.255,DNF,fluxnet2015
RU-Tks,RU-Tks,128.88782,71.59427,GRA,fluxnet2015
RU-Vrk,RU-Vrk,62.94047,67.05468,CSH,fluxnet2015
RU-Zot,RU-Zot,89.3508,60.8008,,plumber2
SD-Dem,SD-Dem,30.4783,13.2829,SAV,fluxnet2015
SE-Deg,SE-Deg,19.55654,64.18197,,plumber2
SE-St1,SE-St1,19.05033,68.35415,WET,fluxnet2015
SN-Dhr,SN-Dhr,-15.43222,15.40278,SAV,fluxnet2015
UK-Gri,UK-Gri,-3.79806,56.60722,,plumber2
UK-Ham,UK-Ham,-0.8583,51.15353,,plumber2
UK-PL3,UK-PL3,-1.26667,51.45,,plumber2
US-AR1,US-AR1,-99.42,36.4267,GRA,fluxnet2015
US-AR2,US-AR2,-99.5975,36.6358,GRA,fluxnet2015
US-ARM,US-ARM,-97.4888,36.6058,CRO,fluxnet2015
US-ARb,US-ARb,-98.0402,35.5497,GRA,fluxnet2015
US-ARc,US-ARc,-98.04,35.54649,GRA,fluxnet2015
US-Atq,US-Atq,-157.4089,70.4696,WET,fluxnet2015
US-Aud,US-Aud,-110.5092,31.5907,,plumber2
US-Bar,US-Bar,-71.28808,44.06464,,plumber2
US-Bkg,US-Bkg,-96.83617,44.34529,,plumber2
US-Blo,US-Blo,-120.6328,38.8953,ENF,fluxnet2015
US-Bo1,US-Bo1,-88.2904,40.0062,,plumber2
US-CRT,US-CRT,-83.347086,41.628495,CRO,fluxnet2015
US-Cop,US-Cop,-109.39,38.09,GRA,fluxnet2015
US-FPe,US-FPe,-105.1019,48.3077,,plumber2
US-GBT,US-GBT,-106.2397,41.36579,ENF,fluxnet2015
US-GLE,US-GLE,-106.2399,41.36653,ENF,fluxnet2015
US-Goo,US-Goo,-89.8735,34.2547,GRA,fluxnet2015
US-Ha1,US-Ha1,-72.1715,42.5378,DBF,fluxnet2015
US-Ho1,US-Ho1,-68.7402,45.2041,,plumber2
US-IB2,US-IB2,-88.24103,41.84062,GRA,fluxnet2015
US-Ivo,US-Ivo,-155.7503,68.4865,WET,fluxnet2015
US-KS1,US-KS1,-80.6709,28.4583,ENF,fluxnet2015
US-KS2,US-KS2,-80.6715,28.6086,CSH,fluxnet2015
US-LWW,US-LWW,-97.9789,34.9604,GRA,fluxnet2015
US-Lin,US-Lin,-119.8423,36.3566,CRO,fluxnet2015
US-Los,US-Los,-89.9792,46.0827,WET,fluxnet2015
US-MMS,US-MMS,-86.4131,39.3232,DBF,fluxnet2015
US-MOz,US-MOz,-92.20001,38.74411,,plumber2
US-Me1,US-Me1,-121.5,44.5794,ENF,fluxnet2015
US-Me2,US-Me2,-121.5574,44.4523,ENF,fluxnet2015
US-Me3,US-Me3,-121.6078,44.3154,ENF,fluxnet2015
US-Me4,US-Me4,-121.6224,44.4992,ENF,fluxnet2015
US-Me5,US-Me5,-121.56676,44.43719,ENF,fluxnet2015
US-Me6,US-Me6,-121.6078,44.3232842,ENF,fluxnet2015
US-Myb,US-Myb,-121.76498,38.049861,WET,fluxnet2015
US-NR1,US-NR1,-105.5464,40.0329,ENF,fluxnet2015
US-Ne1,US-Ne1,-96.47664,41.16506,CRO,fluxnet2015
US-Ne2,US-Ne2,-96.4701,41.16487,CRO,fluxnet2015
US-Ne3,US-Ne3,-96.43965,41.17967,CRO,fluxnet2015
US-ORv,US-ORv,-83.0269930524131,40.0394458013984,WET,fluxnet2015
US-Oho,US-Oho,-83.8438,41.5545,DBF,fluxnet2015
US-PFa,US-PFa,-90.2723,45.9459,MF,fluxnet2015
US-Prr,US-Prr,-147.48756,65.12367,ENF,fluxnet2015
US-SP1,US-SP1,-82.21877,29.73807,,plumber2
US-SP2,US-SP2,-82.24482,29.7648,,plumber2
US-SP3,US-SP3,-82.16328,29.75477,,plumber2
US-SRC,US-SRC,-110.8395,31.9083,MF,fluxnet2015
US-SRG,US-SRG,-110.827675,31.789379,GRA,fluxnet2015
US-SRM,US-SRM,-110.8661,31.8214,WSA,fluxnet2015
US-Sta,US-Sta,-106.8024,41.3966,OSH,fluxnet2015
US-Syv,US-Syv,-89.3477,46.242,MF,fluxnet2015
US-Ton,US-Ton,-120.96598,38.4316,WSA,fluxnet2015
US-Tw1,US-Tw1,-121.6469,38.1074,WET,fluxnet2015
US-Tw2,US-Tw2,-121.6433,38.1047,CRO,fluxnet2015
US-Tw3,US-Tw3,-121.6467,38.1159,CRO,fluxnet2015
US-Tw4,US-Tw4,-121.6414,38.10298,WET,fluxnet2015
US-Twt,US-Twt,-121.6531,38.1087204,CRO,fluxnet2015
US-UMB,US-UMB,-84.7138,45.5598,DBF,fluxnet2015
US-UMd,US-UMd,-84.6975,45.5625,DBF,fluxnet2015
US-Var,US-Var,-120.9507,38.4133,GRA,fluxnet2015
US-WCr,US-WCr,-90.0799,45.8059,DBF,fluxnet2015
US-WPT,US-WPT,-82.9975416745057,41.4670411948058,WET,fluxnet2015
US-Whs,US-Whs,-110.0522,31.7438,OSH,fluxnet2015
US-Wi0,US-Wi0,-91.081444,46.618778,ENF,fluxnet2015
US-Wi1,US-Wi1,-91.232944,46.730472,DBF,fluxnet2015
US-Wi2,US-Wi2,-91.152833,46.686889,ENF,fluxnet2015
US-Wi3,US-Wi3,-91.098667,46.634722,DBF,fluxnet2015
US-Wi4,US-Wi4,-91.16625,46.739333,ENF,fluxnet2015
US-Wi5,US-Wi5,-91.085806,46.653083,ENF,fluxnet2015
US-Wi6,US-Wi6,-91.298222,46.624889,OSH,fluxnet2015
US-Wi7,US-Wi7,-91.069278,46.649111,OSH,fluxnet2015
US-Wi8,US-Wi8,-91.252417,46.722333,DBF,fluxnet2015
US-Wi9,US-Wi9,-91.081444,46.618778,ENF,fluxnet2015
US-Wkg,US-Wkg,-109.9419,31.7365,GRA,fluxnet2015
ZA-Kru,ZA-Kru,31.4969,-25.0197,SAV,fluxnet2015
ZM-Mon,ZM-Mon,23.25278,-15.43778,DBF,fluxnet2015
